Record_ID,Date,Country,Population,New_Cases,New_Deaths,Recovered,Active_Cases,Tests_Conducted,Vaccinations,Positivity_Rate,Hospitalized,ICU_Patients
132,2020-05-11,Italy,176766522,10116,76,2424.0,7692,131508,90881839.0,0.0769,6512.0,332
133,2020-05-12,Australia,22559479,21532,872,4047.0,17485,366044,10625385.0,0.0588,17728.0,18
134,2020-05-13,Japan,166748012,4484,240,2130.0,2354,53808,24261017.0,0.0833,806.0,389
135,2020-05-14,Germany,171120386,46130,893,39544.0,6586,876470,44658206.0,0.0526,1897.0,23
136,2020-05-15,Brazil,88073661,3677,300,2209.0,1468,58832,57805802.0,0.0625,1000.0,271
137,2020-05-16,USA,111609298,37088,698,25288.0,11800,370880,23497411.0,0.1,25070.0,317
138,2020-05-17,Australia,184377542,15783,509,828.0,14955,142047,62327610.0,0.1111,10451.0,130
139,2020-05-18,Germany,124365016,16733,682,16426.0,307,317927,120958281.0,0.0526,5176.0,37
140,2020-05-19,Germany,119575935,22646,601,12844.0,9802,407628,92652311.0,0.0556,14969.0,432
141,2020-05-20,Japan,82100168,13055,393,5139.0,7916,104440,31837210.0,0.125,9370.0,183
142,2020-05-21,Germany,155299903,19390,716,9716.0,9674,96950,106248295.0,0.2,265.0,289
143,2020-05-22,UK,185092899,48802,996,45588.0,3214,976040,76824657.0,0.05,39784.0,410
144,2020-05-23,Brazil,95575436,14352,651,11237.0,3115,186576,90968005.0,0.0769,10293.0,49
145,2020-05-24,Italy,169432003,42358,40,22112.0,20246,804802,8956222.0,0.0526,23911.0,374
146,2020-05-25,Brazil,36275588,5906,931,3489.0,2417,88590,27883940.0,0.0667,1644.0,67
147,2020-05-26,Germany,145796166,23976,543,7534.0,16442,311688,44169557.0,0.0769,15789.0,495
148,2020-05-27,USA,80226429,48926,891,26728.0,22198,391408,62858374.0,0.125,9224.0,386
149,2020-05-28,France,61562982,44323,741,126.0,44197,753491,56756951.0,0.0588,23971.0,46
150,2020-05-29,Canada,106917802,912,270,363.0,549,7296,61040347.0,0.125,688.0,383
151,2020-05-30,UK,181480109,17181,598,4696.0,12485,274896,29083935.0,0.0625,15449.0,12
152,2020-05-31,Germany,167308344,36792,335,22285.0,14507,257544,124625866.0,0.1429,26758.0,59
153,2020-06-01,USA,38521107,2971,968,2819.0,152,41594,33059478.0,0.0714,398.0,120
154,2020-06-02,Japan,145296568,8890,397,1458.0,7432,142240,145006818.0,0.0625,2531.0,453
155,2020-06-03,India,112369717,42920,101,10851.0,32069,772560,37546086.0,0.0556,24283.0,111
156,2020-06-04,Canada,120019740,29143,973,21407.0,7736,466288,13335151.0,0.0625,17841.0,461
157,2020-06-05,USA,174094378,23506,62,10460.0,13046,305578,50951346.0,0.0769,14900.0,46
158,2020-06-06,Canada,178910628,13900,657,3423.0,10477,69500,13577065.0,0.2,3990.0,64
159,2020-06-07,UK,152552746,13448,70,912.0,12536,147928,57968999.0,0.0909,5383.0,396
160,2020-06-08,France,40608772,39058,2,20887.0,18171,351522,8723624.0,0.1111,16426.0,408
161,2020-06-09,India,47841214,7204,676,107.0,7097,36020,8845165.0,0.2,2934.0,404
162,2020-06-10,India,64869278,38591,331,37557.0,1034,385910,17808512.0,0.1,8307.0,379
163,2020-06-11,Canada,114000739,34477,116,30312.0,4165,689540,60166480.0,0.05,33635.0,303
164,2020-06-12,France,30273962,29622,515,22363.0,7259,177732,24402225.0,0.1667,9883.0,234
165,2020-06-13,USA,173695449,2041,62,1061.0,980,34697,114426953.0,0.0588,1004.0,364
166,2020-06-14,Brazil,120067856,4816,920,4155.0,661,72240,81644298.0,0.0667,538.0,64
167,2020-06-15,Italy,74824044,40915,648,2553.0,38362,613725,51124122.0,0.0667,34770.0,150
168,2020-06-16,USA,122793305,33131,619,4938.0,28193,265048,106447555.0,0.125,14091.0,220
169,2020-06-17,Japan,122213348,14974,423,9421.0,5553,284506,53516659.0,0.0526,11953.0,48
170,2020-06-18,Brazil,84899059,27968,320,,21794,363584,,0.0769,,472
171,2020-06-19,USA,128310317,4399,93,3700.0,699,30793,57965485.0,0.1429,3052.0,415
172,2020-06-20,Canada,35927601,36462,61,14859.0,21603,291696,27568900.0,0.125,27717.0,444
173,2020-06-21,USA,194558252,3371,991,2193.0,1178,47194,94394305.0,0.0714,2367.0,259
174,2020-06-22,USA,58106638,10140,672,2240.0,7900,121680,56859652.0,0.0833,5736.0,432
175,2020-06-23,France,150321376,24088,117,14960.0,9128,289056,115188984.0,0.0833,20372.0,314
176,2020-06-24,Brazil,182187681,42119,570,40399.0,1720,547547,7772061.0,0.0769,17909.0,359
177,2020-06-25,Italy,83942444,22270,359,22070.0,200,222700,19226889.0,0.1,21539.0,205
178,2020-06-26,UK,19679195,9297,758,8795.0,502,65079,17800045.0,0.1429,6163.0,214
179,2020-06-27,Canada,122774614,22340,161,10215.0,12125,312760,96850971.0,0.0714,18598.0,305
180,2020-06-28,USA,23805481,3447,159,2803.0,644,20682,22614637.0,0.1667,1114.0,226
181,2020-06-29,Germany,178687815,27788,497,7896.0,19892,527972,111181601.0,0.0526,7063.0,386
182,2020-06-30,Italy,138531915,7459,353,3938.0,3521,59672,76033395.0,0.125,3986.0,269
183,2020-07-01,India,180082033,20212,46,12987.0,7225,343604,160880069.0,0.0588,251.0,104
184,2020-07-02,Canada,81911642,13843,785,11595.0,2248,179959,38848936.0,0.0769,1965.0,3
185,2020-07-03,France,134515857,48956,440,37442.0,11514,440604,102061158.0,0.1111,46115.0,117
186,2020-07-04,India,135288150,36616,853,13406.0,23210,256312,106587980.0,0.1429,28588.0,9
187,2020-07-05,Japan,124414341,5102,882,2538.0,2564,91836,76960402.0,0.0556,3421.0,148
188,2020-07-06,Italy,31916617,26544,21,15902.0,10642,265440,26887909.0,0.1,15076.0,425
189,2020-07-07,Japan,186115785,23714,90,9404.0,14310,189712,65314768.0,0.125,19296.0,205
190,2020-07-08,Canada,141650125,5154,405,2613.0,2541,77310,59477796.0,0.0667,1377.0,39
191,2020-07-09,Canada,138031813,41499,116,6726.0,34773,456489,93784709.0,0.0909,9679.0,120
192,2020-07-10,Brazil,28596380,9597,262,6365.0,3232,95970,20213155.0,0.1,1234.0,90
193,2020-07-11,Italy,169563715,32382,475,7661.0,24721,615258,151529609.0,0.0526,10590.0,442
194,2020-07-12,Australia,169367390,20718,154,6308.0,14410,145026,125875045.0,0.1429,20689.0,155
195,2020-07-13,Australia,74732150,38759,57,15695.0,23064,271313,41662236.0,0.1429,29616.0,19
196,2020-07-14,USA,16271307,24165,851,14759.0,9406,169155,10815708.0,0.1429,20152.0,304
197,2020-07-15,Italy,137114981,25197,473,6181.0,19016,151182,120724470.0,0.1667,21359.0,96
198,2020-07-16,Australia,87309183,39649,487,6792.0,32857,356841,8304547.0,0.1111,6783.0,415
199,2020-07-17,UK,93190875,46813,86,13747.0,33066,468130,5253567.0,0.1,46374.0,224
200,2020-07-18,Germany,118956389,34345,535,23942.0,10403,549520,50043345.0,0.0625,25389.0,209
201,2020-07-19,Canada,91829739,44492,612,,3431,667380,,0.0667,,285
202,2020-07-20,USA,183101068,25333,290,17076.0,8257,227997,89486191.0,0.1111,19095.0,339
203,2020-07-21,Italy,38964391,22925,317,1428.0,21497,389725,8653799.0,0.0588,2776.0,158
204,2020-07-22,USA,151034500,24686,658,13923.0,10763,222174,141302636.0,0.1111,21168.0,343
205,2020-07-23,Brazil,114657281,33324,370,32130.0,1194,533184,41455302.0,0.0625,14037.0,174
206,2020-07-24,Germany,131532356,12583,231,10330.0,2253,113247,10356922.0,0.1111,1657.0,259
207,2020-07-25,Italy,145893609,48407,904,,34506,290442,,0.1667,,305
208,2020-07-26,Australia,102124970,10109,166,7147.0,2962,101090,96795543.0,0.1,715.0,210
209,2020-07-27,Germany,98790878,44326,736,28760.0,15566,842194,81952730.0,0.0526,29420.0,119
210,2020-07-28,Canada,144347527,15674,316,2426.0,13248,313480,52080821.0,0.05,11113.0,484
211,2020-07-29,France,154120789,28874,472,3662.0,25212,404236,102508101.0,0.0714,17283.0,214
212,2020-07-30,India,44502159,13087,820,3181.0,9906,117783,16777431.0,0.1111,10505.0,246
213,2020-07-31,USA,100646490,36342,956,29619.0,6723,290736,38260510.0,0.125,10506.0,139
214,2020-08-01,Australia,121613208,33643,150,4973.0,28670,235501,29801436.0,0.1429,22910.0,476
215,2020-08-02,Japan,8159225,27190,54,14199.0,12991,435040,1977849.0,0.0625,2674.0,191
216,2020-08-03,Brazil,61274165,1847,326,1645.0,202,27705,53108655.0,0.0667,281.0,19
217,2020-08-04,Australia,78008601,30962,712,3729.0,27233,278658,62962895.0,0.1111,20163.0,2
218,2020-08-05,Italy,22267007,1245,262,804.0,441,11205,18414814.0,0.1111,1080.0,216
219,2020-08-06,UK,30846495,18881,243,9013.0,9868,151048,1602205.0,0.125,13756.0,327
220,2020-08-07,France,168184438,29957,64,,3632,599140,,0.05,,323
221,2020-08-08,India,139345119,37686,247,28277.0,9409,527604,115222938.0,0.0714,23122.0,123
222,2020-08-09,Canada,154186375,27300,191,5530.0,21770,191100,140521814.0,0.1429,2217.0,488
223,2020-08-10,Australia,142213006,35656,519,2389.0,33267,178280,104811625.0,0.2,2853.0,325
224,2020-08-11,Canada,104852662,24464,259,23932.0,532,391424,9067690.0,0.0625,7901.0,375
225,2020-08-12,India,177390118,41173,106,3038.0,38135,617595,35811865.0,0.0667,23088.0,279
226,2020-08-13,Brazil,91878087,42126,179,11677.0,30449,842520,84790150.0,0.05,8837.0,32
227,2020-08-14,UK,193211881,29994,37,20379.0,9615,329934,11759157.0,0.0909,29025.0,21
228,2020-08-15,India,85717106,20321,527,7272.0,13049,406420,33999198.0,0.05,6262.0,146
229,2020-08-16,USA,96824525,3132,886,447.0,2685,46980,36670512.0,0.0667,1507.0,223
230,2020-08-17,Australia,108380027,48713,450,23374.0,25339,730695,25074182.0,0.0667,45355.0,254
231,2020-08-18,Japan,99608938,34031,273,28617.0,5414,612558,10593403.0,0.0556,11826.0,279
232,2020-08-19,Germany,79857323,21050,105,18427.0,2623,315750,39680122.0,0.0667,14611.0,308
233,2020-08-20,Australia,193646170,27925,170,5323.0,22602,530575,94367675.0,0.0526,1387.0,372
234,2020-08-21,Japan,95639419,40294,445,22301.0,17993,241764,10071854.0,0.1667,23809.0,262
235,2020-08-22,Australia,183377896,10484,975,9974.0,510,94356,163094108.0,0.1111,570.0,64
236,2020-08-23,Japan,19047818,15466,797,4896.0,10570,247456,12151757.0,0.0625,9293.0,16
237,2020-08-24,Australia,163428906,10055,695,2684.0,7371,160880,99861581.0,0.0625,1259.0,293
238,2020-08-25,UK,37962248,34698,375,8613.0,26085,520470,18702553.0,0.0667,7434.0,13
239,2020-08-26,USA,198481216,12192,511,3710.0,8482,207264,150772870.0,0.0588,4288.0,396
240,2020-08-27,UK,70871002,46139,456,32077.0,14062,645946,65927774.0,0.0714,8037.0,69
241,2020-08-28,Canada,20878193,29625,176,178.0,29447,562875,2945768.0,0.0526,21883.0,177
242,2020-08-29,Brazil,191465824,4255,563,1877.0,2378,59570,42279992.0,0.0714,2961.0,260
243,2020-08-30,Australia,61194400,7953,205,1465.0,6488,71577,15887096.0,0.1111,215.0,184
244,2020-08-31,USA,149718997,37504,377,6873.0,30631,337536,23143292.0,0.1111,20269.0,203
245,2020-09-01,Italy,193450397,47111,490,12660.0,34451,847998,109906474.0,0.0556,4833.0,64
246,2020-09-02,Canada,86101467,42096,75,12607.0,29489,799824,69438885.0,0.0526,8410.0,449
247,2020-09-03,France,148989390,41929,601,30004.0,11925,377361,116130086.0,0.1111,3631.0,425
248,2020-09-04,Canada,34329247,33954,156,14023.0,19931,339540,10869418.0,0.1,14776.0,177
249,2020-09-05,France,140290564,18615,866,,2584,241995,,0.0769,,64
250,2020-09-06,Brazil,168778162,19845,629,2364.0,17481,138915,134908451.0,0.1429,19392.0,482
251,2020-09-07,India,156866109,10105,175,191.0,9914,151575,151295064.0,0.0667,464.0,41
252,2020-09-08,UK,13203559,42038,789,4239.0,37799,546494,10924148.0,0.0769,37495.0,213
253,2020-09-09,Australia,166922216,41876,31,9237.0,32639,586264,81092771.0,0.0714,16048.0,412
254,2020-09-10,India,184875828,26613,304,11752.0,14861,186291,184848298.0,0.1429,5179.0,225
255,2020-09-11,Brazil,112567612,31735,475,25050.0,6685,476025,81424562.0,0.0667,10242.0,441
256,2020-09-12,Canada,193834068,20926,751,9609.0,11317,355742,35102271.0,0.0588,16874.0,287
257,2020-09-13,Australia,29503533,20913,247,5628.0,15285,167304,8974860.0,0.125,8123.0,72
258,2020-09-14,Brazil,26987681,3316,297,1743.0,1573,59688,8330568.0,0.0556,1341.0,478
259,2020-09-15,France,156071683,47259,320,34819.0,12440,472590,133752136.0,0.1,30593.0,255
260,2020-09-16,Australia,83823204,32595,23,29645.0,2950,554115,67839607.0,0.0588,31676.0,123
261,2020-09-17,Australia,58752390,38230,361,35042.0,3188,229380,18881504.0,0.1667,30840.0,146
262,2020-09-18,Canada,145066826,535,110,94.0,441,4815,70993902.0,0.1111,412.0,187
263,2020-09-19,France,13144663,26252,52,7566.0,18686,288772,6082139.0,0.0909,9456.0,37
264,2020-09-20,USA,104709722,33046,461,14715.0,18331,264368,17268907.0,0.125,25814.0,191
265,2020-09-21,Italy,92022516,36558,961,12598.0,23960,329022,26717096.0,0.1111,33365.0,205
266,2020-09-22,Australia,135238641,2638,46,2479.0,159,23742,89399933.0,0.1111,2127.0,233
267,2020-09-23,Italy,40980954,39731,914,5947.0,33784,357579,22009415.0,0.1111,20875.0,83
268,2020-09-24,France,106482942,40402,757,20792.0,19610,606030,68090664.0,0.0667,34887.0,250
269,2020-09-25,Canada,191250892,36891,306,5769.0,31122,184455,98880296.0,0.2,7183.0,213
270,2020-09-26,Italy,157686350,20163,815,19290.0,873,403260,71277782.0,0.05,18927.0,116
271,2020-09-27,Italy,194649368,3365,597,1398.0,1967,33650,140722545.0,0.1,3172.0,430
272,2020-09-28,USA,103056566,9684,841,5716.0,3968,58104,76849080.0,0.1667,3125.0,9
273,2020-09-29,UK,119390389,20558,428,15596.0,4962,370044,92677376.0,0.0556,13447.0,256
274,2020-09-30,France,165142391,30907,893,3108.0,27799,185442,37066234.0,0.1667,6794.0,287
275,2020-10-01,Brazil,88254819,43399,489,8962.0,34437,737783,42111160.0,0.0588,30124.0,467
276,2020-10-02,UK,144110206,22434,559,10825.0,11609,291642,129971107.0,0.0769,8077.0,142
277,2020-10-03,Australia,150810244,19562,230,9810.0,9752,273868,55640709.0,0.0714,10388.0,245
278,2020-10-04,Italy,94631139,36732,956,18811.0,17921,514248,16357665.0,0.0714,35598.0,194
