Date,City,Country,PM2.5,PM10,NO2,SO2,CO,O3,AQI,AQI_Category,Temperature_C,Humidity_pct,WindSpeed_ms,Pressure_hPa
2022-04-13,Delhi,India,121.5,197.74,44.98,16.07,0.703,27.24,185.0,Unhealthy,24.4,55.3,3.49,1019.3
2022-04-14,Delhi,India,144.15,191.56,36.55,15.5,1.404,29.59,197.0,Unhealthy,32.5,50.5,4.95,1017.1
2022-04-15,Delhi,India,84.57,225.18,47.09,13.98,1.289,24.62,165.0,Unhealthy,28.8,59.3,1.78,1015.6
2022-04-16,Delhi,India,76.02,171.09,41.55,22.69,1.003,38.79,161.0,Unhealthy,30.7,58.3,3.71,1015.7
2022-04-17,Delhi,India,105.28,244.62,36.21,,1.323,29.77,176.0,Unhealthy,27.8,58.6,6.1,1012.5
2022-04-18,Delhi,India,103.43,127.94,38.01,7.38,1.192,31.68,175.0,Unhealthy,33.9,77.5,2.44,
2022-04-19,Delhi,India,114.88,170.21,43.72,13.51,1.643,28.06,181.0,Unhealthy,27.3,42.7,4.68,1011.3
2022-04-20,Delhi,India,91.12,176.32,46.74,13.87,1.288,38.05,169.0,Unhealthy,34.9,59.0,5.25,1020.5
2022-04-21,Delhi,India,137.93,,44.73,15.06,1.08,35.09,193.0,Unhealthy,27.7,48.6,5.85,1018.0
2022-04-22,Delhi,India,147.1,161.55,,12.13,1.61,31.55,198.0,Unhealthy,34.1,52.1,4.13,1007.1
2022-04-23,Delhi,India,117.92,172.84,32.11,12.07,1.471,29.65,183.0,Unhealthy,35.8,54.2,3.06,1000.4
2022-04-24,Delhi,India,80.29,159.78,32.44,18.05,1.47,39.2,163.0,Unhealthy,31.7,55.3,3.34,1013.0
2022-04-25,Delhi,India,151.49,66.16,20.36,10.75,1.541,35.8,201.0,Very Unhealthy,32.8,51.9,5.33,1019.2
2022-04-26,Delhi,India,108.63,212.8,40.59,10.61,1.839,32.53,178.0,Unhealthy,31.8,66.8,0.1,1004.5
2022-04-27,Delhi,India,70.27,152.06,35.6,6.98,1.072,26.9,158.0,Unhealthy,38.1,69.4,2.76,1010.8
2022-04-28,Delhi,India,70.66,81.48,36.6,8.81,1.468,22.67,158.0,Unhealthy,30.2,56.2,4.16,
2022-04-29,Delhi,India,65.3,204.74,30.21,14.84,1.492,24.22,155.0,Unhealthy,31.4,57.9,4.6,1012.2
2022-04-30,Delhi,India,143.1,,34.87,15.2,,44.45,,Unhealthy,29.3,47.6,6.17,1006.7
2022-05-01,Delhi,India,63.96,142.3,40.72,11.93,1.185,28.85,155.0,Unhealthy,30.7,48.0,7.61,1014.8
2022-05-02,Delhi,India,124.08,141.12,35.03,9.56,0.275,24.83,186.0,Unhealthy,28.1,37.0,1.35,1020.9
2022-05-03,Delhi,India,97.83,220.16,40.17,15.09,1.053,36.46,172.0,Unhealthy,34.6,50.4,4.51,1016.4
2022-05-04,Delhi,India,83.31,110.52,25.58,12.4,1.597,28.78,165.0,Unhealthy,32.9,59.6,4.61,1022.3
2022-05-05,Delhi,India,132.91,114.96,51.16,10.01,1.91,34.15,191.0,Unhealthy,32.0,40.5,3.19,1003.6
2022-05-06,Delhi,India,123.76,227.25,28.6,,1.104,30.19,186.0,Unhealthy,35.1,,6.63,1010.1
2022-05-07,Delhi,India,124.02,162.36,42.71,10.17,1.399,33.49,186.0,Unhealthy,31.1,60.3,4.67,
2022-05-08,Delhi,India,138.19,222.18,31.94,13.17,1.132,34.54,194.0,Unhealthy,31.9,68.0,4.15,1011.7
2022-05-09,Delhi,India,128.13,58.28,16.96,14.68,1.431,36.13,188.0,Unhealthy,30.2,54.8,7.11,1017.9
2022-05-10,Delhi,India,99.36,135.2,31.31,3.64,1.511,39.92,173.0,Unhealthy,29.6,49.7,1.42,1007.2
2022-05-11,Delhi,India,95.56,,40.17,14.37,1.273,20.19,171.0,Unhealthy,31.2,,0.1,1010.9
2022-05-12,Delhi,India,61.04,189.19,28.34,,1.631,46.32,,Unhealthy,33.3,58.0,,1020.1
2022-05-13,Delhi,India,71.98,126.77,34.0,5.54,1.471,41.33,159.0,Unhealthy,34.6,42.3,3.28,1017.5
2022-05-14,Delhi,India,40.66,102.67,41.87,12.34,1.545,46.91,113.0,Unhealthy for Sensitive Groups,35.2,60.3,8.38,1011.7
2022-05-15,Delhi,India,69.77,169.33,37.72,9.28,,49.84,158.0,Unhealthy,34.9,49.1,5.15,
2022-05-16,Delhi,India,84.18,174.43,21.93,12.51,2.203,,165.0,Unhealthy,33.3,50.9,2.76,1011.5
2022-05-17,Delhi,India,80.17,189.42,17.74,14.35,1.163,38.7,163.0,,31.5,65.6,5.74,1018.8
2022-05-18,Delhi,India,48.33,184.57,36.78,5.02,1.314,38.86,132.0,,35.8,56.4,4.02,1021.8
2022-05-19,Delhi,India,123.14,17.32,30.07,,0.529,37.47,186.0,Unhealthy,37.6,46.3,4.11,
2022-05-20,Delhi,India,70.39,211.91,27.84,12.64,0.467,48.31,158.0,Unhealthy,36.1,53.5,4.54,1004.5
2022-05-21,Delhi,India,,129.94,30.68,,1.039,41.53,184.0,Unhealthy,35.3,60.2,,1016.1
2022-05-22,Delhi,India,76.26,243.97,18.21,15.5,,32.48,161.0,Unhealthy,40.3,63.0,5.25,1013.2
2022-05-23,Delhi,India,81.26,,35.63,15.96,,32.36,164.0,Unhealthy,36.9,62.4,4.68,1017.5
2022-05-24,Delhi,India,79.25,100.08,24.11,4.51,1.384,37.56,163.0,Unhealthy,33.8,31.4,1.25,1019.7
2022-05-25,Delhi,India,67.9,157.25,19.21,15.97,1.204,40.03,157.0,Unhealthy,40.8,67.1,2.95,1009.4
2022-05-26,Delhi,India,76.71,163.12,30.59,9.03,1.922,37.84,161.0,Unhealthy,40.8,55.7,6.71,1015.1
2022-05-27,Delhi,India,111.64,106.74,23.67,,1.699,38.99,180.0,Unhealthy,31.9,44.1,0.93,1002.4
2022-05-28,Delhi,India,87.66,189.15,31.05,1.91,1.161,38.01,,Unhealthy,40.4,43.3,2.8,1023.2
2022-05-29,Delhi,India,96.53,,32.02,11.57,1.589,,172.0,Unhealthy,37.5,44.0,,1014.1
2022-05-30,Delhi,India,66.72,135.89,25.2,6.25,1.073,32.82,156.0,Unhealthy,36.1,45.8,4.78,1005.9
2022-05-31,Delhi,India,67.62,108.02,42.56,11.45,1.13,42.66,156.0,,30.1,54.7,7.1,1013.8
2022-06-01,Delhi,India,84.59,160.02,38.52,2.66,0.461,,165.0,Unhealthy,33.7,65.5,2.93,1001.4
2022-06-02,Delhi,India,47.38,10.86,28.18,9.39,1.02,46.59,130.0,Unhealthy for Sensitive Groups,38.5,53.6,0.1,
2022-06-03,Delhi,India,,147.78,38.95,5.67,2.109,34.59,172.0,Unhealthy,37.4,41.5,1.83,1022.1
2022-06-04,Delhi,India,74.18,170.92,32.08,9.59,1.812,39.14,160.0,Unhealthy,31.2,48.6,4.49,1015.4
2022-06-05,Delhi,India,37.82,99.81,24.56,8.56,,37.01,106.0,Unhealthy for Sensitive Groups,33.8,61.2,4.96,1012.1
2022-06-06,Delhi,India,69.7,138.0,22.28,5.58,0.762,37.19,158.0,Unhealthy,32.8,56.3,4.81,1003.5
2022-06-07,Delhi,India,80.75,121.11,32.55,9.78,0.525,33.64,163.0,Unhealthy,35.8,63.2,0.1,1015.1
2022-06-08,Delhi,India,112.36,123.45,34.28,7.14,1.119,31.71,180.0,Unhealthy,29.9,62.5,1.73,1010.3
2022-06-09,Delhi,India,41.12,66.23,27.61,6.99,1.337,44.36,114.0,Unhealthy for Sensitive Groups,36.6,56.9,6.34,1006.6
2022-06-10,Delhi,India,77.34,180.0,40.41,4.35,1.021,50.0,162.0,Unhealthy,37.1,56.6,3.11,1010.7
2022-06-11,Delhi,India,86.39,117.05,28.51,9.92,0.85,45.25,166.0,Unhealthy,43.2,40.8,4.08,1008.4
2022-06-12,Delhi,India,93.97,129.88,35.61,13.99,1.237,49.05,170.0,Unhealthy,30.0,67.7,4.18,1019.5
2022-06-13,Delhi,India,44.18,89.8,29.93,9.48,1.272,48.96,122.0,Unhealthy for Sensitive Groups,,62.8,3.51,1011.8
2022-06-14,Delhi,India,36.91,149.24,6.76,11.93,0.468,42.97,104.0,Unhealthy for Sensitive Groups,35.6,64.4,3.18,1008.8
2022-06-15,Delhi,India,63.09,183.32,33.19,8.01,1.028,33.44,154.0,Unhealthy,36.9,,4.85,1013.8
2022-06-16,Delhi,India,142.33,75.98,27.31,16.16,1.665,38.86,196.0,Unhealthy,36.5,55.0,4.01,1008.8
2022-06-17,Delhi,India,73.9,53.04,29.33,11.06,1.022,33.53,160.0,Unhealthy,38.5,57.9,2.19,1011.3
2022-06-18,Delhi,India,34.77,78.29,23.16,,0.832,47.24,,Moderate,34.6,57.0,3.25,1018.2
2022-06-19,Delhi,India,61.03,53.16,15.45,7.3,0.553,46.03,153.0,Unhealthy,34.8,74.0,0.37,1014.2
2022-06-20,Delhi,India,44.42,101.24,29.05,0.54,1.218,55.16,123.0,Unhealthy for Sensitive Groups,34.9,57.1,5.34,1012.0
2022-06-21,Delhi,India,59.17,20.56,33.44,8.8,0.651,44.67,152.0,Unhealthy,34.5,50.8,4.59,1005.0
2022-06-22,Delhi,India,103.67,59.62,21.6,16.4,1.61,,175.0,Unhealthy,33.6,50.8,,1013.2
2022-06-23,Delhi,India,72.11,120.7,25.54,3.75,0.866,49.72,159.0,Unhealthy,32.6,53.5,2.02,
2022-06-24,Delhi,India,63.66,188.15,31.93,,1.397,39.74,154.0,Unhealthy,34.5,57.5,2.61,1018.4
2022-06-25,Delhi,India,52.81,93.41,21.38,6.97,1.586,48.3,144.0,Unhealthy for Sensitive Groups,40.2,73.1,1.64,1013.4
2022-06-26,Delhi,India,41.53,85.89,21.53,5.1,0.615,43.81,115.0,Unhealthy for Sensitive Groups,32.9,61.7,1.85,1029.9
2022-06-27,Delhi,India,61.24,123.76,15.46,15.44,1.588,46.59,153.0,Unhealthy,32.6,56.7,1.48,1021.8
2022-06-28,Delhi,India,95.69,124.46,5.11,5.32,1.391,52.21,171.0,Unhealthy,38.7,42.3,4.04,1019.1
2022-06-29,Delhi,India,27.63,119.48,29.43,7.86,,43.11,83.0,Moderate,35.1,53.8,2.49,1010.3
2022-06-30,Delhi,India,71.95,,24.15,7.43,1.117,33.65,159.0,Unhealthy,37.1,55.0,3.57,1018.8
2022-07-01,Delhi,India,19.16,30.41,29.29,8.92,1.15,42.52,65.0,Moderate,37.5,62.5,4.37,1011.4
2022-07-02,Delhi,India,14.73,153.57,37.76,11.34,0.675,49.44,56.0,Moderate,37.9,67.5,1.92,1011.6
2022-07-03,Delhi,India,93.08,121.28,16.65,10.46,1.329,46.02,170.0,Unhealthy,36.3,52.9,6.16,1007.6
2022-07-04,Delhi,India,56.24,118.95,34.56,3.27,0.476,33.36,150.0,Unhealthy for Sensitive Groups,35.8,46.1,2.81,1017.0
2022-07-05,Delhi,India,54.61,128.64,23.91,11.39,1.278,,148.0,Unhealthy for Sensitive Groups,35.3,63.3,4.21,1004.6
2022-07-06,Delhi,India,90.16,69.22,39.27,12.69,1.193,46.7,168.0,Unhealthy,35.1,60.4,2.83,
2022-07-07,Delhi,India,95.99,92.56,20.97,4.36,0.582,34.85,171.0,Unhealthy,37.4,69.5,6.07,1003.2
2022-07-08,Delhi,India,91.84,181.67,22.37,9.21,0.156,47.49,169.0,Unhealthy,32.9,56.6,0.69,1016.3
2022-07-09,Delhi,India,99.99,82.28,,0.73,,,,Unhealthy,31.6,58.6,,1006.5
2022-07-10,Delhi,India,56.49,165.6,31.84,8.32,1.335,39.03,151.0,Unhealthy,35.5,56.2,,1015.6
2022-07-11,Delhi,India,50.21,140.22,31.36,0.5,1.591,27.76,137.0,Unhealthy for Sensitive Groups,33.8,63.2,2.93,1004.2
2022-07-12,Delhi,India,41.54,163.4,9.07,13.02,1.03,38.93,115.0,Unhealthy for Sensitive Groups,33.8,46.9,5.06,1017.4
2022-07-13,Delhi,India,24.29,98.95,18.58,13.63,0.446,55.73,76.0,Moderate,35.2,45.7,2.28,1008.2
2022-07-14,Delhi,India,36.48,121.33,15.29,0.6,0.883,35.31,103.0,Unhealthy for Sensitive Groups,33.3,47.7,1.93,1025.0
2022-07-15,Delhi,India,73.06,128.06,10.34,6.32,1.15,40.0,159.0,Unhealthy,37.4,45.4,2.98,1009.5
2022-07-16,Delhi,India,76.02,88.18,23.89,7.89,0.723,49.06,161.0,Unhealthy,35.6,54.3,2.73,1017.8
2022-07-17,Delhi,India,65.02,103.2,27.27,15.14,0.45,50.77,155.0,Unhealthy,30.2,56.7,6.34,1015.9
2022-07-18,Delhi,India,76.21,91.8,26.61,7.83,0.699,44.41,161.0,Unhealthy,35.4,48.9,2.05,1004.8
2022-07-19,Delhi,India,82.28,141.6,28.42,12.4,1.093,48.48,164.0,Unhealthy,35.6,54.3,2.54,1026.3
2022-07-20,Delhi,India,59.14,87.15,,,0.422,52.84,152.0,Unhealthy,34.5,46.1,5.64,1016.8
2022-07-21,Delhi,India,36.84,197.16,32.3,8.75,1.77,47.04,104.0,Unhealthy for Sensitive Groups,34.6,49.7,4.55,1015.9
2022-07-22,Delhi,India,72.08,81.73,27.56,,0.455,37.21,159.0,Unhealthy,36.0,34.2,,1010.1
2022-07-23,Delhi,India,107.72,95.19,32.35,7.32,1.108,50.42,178.0,Unhealthy,33.3,63.0,1.71,1014.8
2022-07-24,Delhi,India,97.19,147.23,43.69,,,39.98,172.0,Unhealthy,36.0,59.0,3.68,1006.3
2022-07-25,Delhi,India,93.0,62.56,36.91,19.54,1.224,49.39,170.0,Unhealthy,33.0,40.5,2.42,1006.4
2022-07-26,Delhi,India,32.22,195.35,28.97,10.26,0.922,44.79,,Moderate,36.6,54.7,4.46,1011.8
2022-07-27,Delhi,India,62.72,54.72,8.76,7.87,1.088,38.04,154.0,Unhealthy,34.0,55.4,0.1,1007.5
2022-07-28,Delhi,India,83.45,135.65,16.22,9.46,1.524,,165.0,Unhealthy,33.7,51.3,,1015.8
2022-07-29,Delhi,India,77.75,,27.84,11.95,1.109,50.3,162.0,Unhealthy,36.0,,0.25,1022.3
2022-07-30,Delhi,India,79.59,41.54,20.28,11.8,0.942,42.42,163.0,Unhealthy,37.3,46.6,2.06,1014.3
2022-07-31,Delhi,India,83.43,141.29,34.97,9.67,1.291,43.84,165.0,Unhealthy,33.8,55.9,3.89,1017.6
2022-08-01,Delhi,India,88.13,,19.54,9.2,1.06,46.45,167.0,Unhealthy,39.0,50.8,4.26,1019.4
2022-08-02,Delhi,India,75.74,224.73,23.49,10.18,0.716,43.07,161.0,Unhealthy,34.0,61.8,4.07,1020.6
