OrderID,Date,Product,Category,Region,Salesperson,Quantity,UnitPrice,DiscountPct,Sales,CustomerRating
100038,2024-05-15,Book,Home,South,SP029,12.0,1762.32,5.0,20090.45,5.0
100039,2025-12-21,Mixer,Electronics,East,SP043,10.0,1225.3,25.0,9189.75,1.0
100040,2024-05-17,Mixer,Clothing,East,SP019,9.0,235.28,0.0,2117.52,5.0
100041,2024-08-03,,Beauty,West,SP017,11.0,411.18,25.0,3392.24,1.0
100042,2024-04-04,Laptop,Home,,SP041,14.0,1659.55,0.0,23233.7,3.0
100043,2024-06-14,Mixer,Electronics,North,SP005,15.0,1105.6,,14096.4,2.0
100044,2025-07-12,Mixer,Clothing,West,SP009,2.0,1670.02,20.0,2672.03,1.0
100045,2024-11-11,Book,Clothing,South,SP043,12.0,1798.47,0.0,21581.64,1.0
100046,2024-12-28,Camera,Books,South,SP016,18.0,1768.85,15.0,27063.4,2.0
100047,2024-06-30,Book,Sports,South,SP018,14.0,54.45,25.0,571.73,2.0
100048,2025-12-19,,Clothing,South,SP030,4.0,768.17,0.0,3072.68,3.0
100049,2024-11-08,Chair,Sports,East,SP018,8.0,449.73,25.0,2698.38,1.0
100050,2024-10-12,Mixer,Home,North,SP008,12.0,1284.76,15.0,13104.55,3.0
100051,2024-07-01,Laptop,Electronics,West,SP023,19.0,1925.26,10.0,32921.95,3.0
100052,2025-03-22,,Beauty,South,SP017,20.0,,0.0,39371.0,1.0
100053,2025-12-26,Chair,Home,West,SP005,14.0,8.37,20.0,93.74,3.0
100054,2025-09-30,Watch,Beauty,East,SP043,11.0,1328.46,0.0,14613.06,
100055,2024-11-30,Shoes,Clothing,West,SP043,13.0,1395.93,20.0,14517.67,4.0
100056,2025-11-24,Headphones,Beauty,North,SP020,6.0,1232.95,10.0,6657.93,3.0
100057,2024-08-03,Book,Sports,West,SP029,14.0,1572.59,20.0,17613.01,
100058,2025-06-07,Shoes,Books,North,SP019,,1588.5,25.0,19062.0,5.0
100059,2025-11-10,Watch,Clothing,South,SP010,20.0,673.7,5.0,12800.3,1.0
100060,2024-02-17,Phone,Sports,West,SP041,8.0,1967.95,20.0,12594.88,5.0
100061,2024-07-18,Shoes,Books,North,SP049,,991.28,5.0,12242.31,1.0
100062,2025-03-11,Mixer,Sports,North,SP036,8.0,355.89,25.0,2135.34,
100063,2024-05-04,Mixer,Beauty,East,SP049,15.0,271.01,15.0,3455.38,4.0
100064,2025-09-19,Bag,Clothing,West,SP029,17.0,856.35,20.0,11646.36,
100065,2024-09-10,Bag,Books,South,SP018,9.0,1532.8,20.0,11036.16,
100066,2024-03-20,Book,Beauty,North,SP009,10.0,472.81,10.0,4255.29,2.0
100067,2024-08-24,Chair,Electronics,West,SP027,13.0,1389.43,25.0,13546.94,3.0
100068,2025-07-09,Headphones,Sports,North,SP049,15.0,834.47,5.0,11891.2,5.0
100069,2025-01-24,Watch,Sports,West,SP035,16.0,16.76,10.0,241.34,5.0
100070,2025-09-09,Headphones,Sports,North,SP025,8.0,979.02,10.0,7048.94,3.0
100071,2025-11-15,Shoes,Beauty,North,SP026,13.0,1449.74,15.0,16019.63,5.0
100072,2025-07-31,Shoes,Sports,South,SP004,1.0,172.48,15.0,146.61,3.0
100073,2025-01-23,Book,Sports,East,SP049,11.0,427.26,10.0,4229.87,4.0
100074,2024-09-15,Mixer,Electronics,East,SP015,3.0,943.26,25.0,2122.34,1.0
100075,2025-10-29,Chair,Electronics,South,SP016,2.0,1509.7,5.0,2868.43,2.0
100076,2025-04-29,Bag,Books,East,SP050,4.0,1130.12,5.0,4294.46,3.0
100077,2024-06-20,Phone,Clothing,East,SP007,20.0,1216.46,25.0,18246.9,5.0
100078,2024-01-27,Headphones,Books,South,SP005,10.0,1153.71,15.0,9806.53,5.0
100079,2025-12-08,Camera,Electronics,North,SP023,8.0,208.29,10.0,1499.69,5.0
100080,2025-03-14,Book,Electronics,West,SP032,12.0,142.57,25.0,1283.13,1.0
100081,2025-03-19,Shoes,Sports,South,SP047,12.0,1272.99,15.0,12984.5,5.0
100082,2025-10-28,Bag,Sports,West,SP047,9.0,1233.75,20.0,8883.0,5.0
100083,2024-10-01,Watch,Sports,South,SP049,11.0,1704.17,0.0,18745.87,4.0
100084,2025-08-06,Laptop,Sports,East,SP012,20.0,1338.04,10.0,24084.72,4.0
100085,2024-08-05,Watch,Beauty,East,SP036,12.0,1596.68,10.0,17244.14,1.0
100086,2025-06-13,Headphones,Sports,,SP045,7.0,175.8,25.0,922.95,4.0
100087,2025-10-23,Phone,Home,South,SP026,16.0,899.11,0.0,14385.76,2.0
100088,2024-11-09,Mixer,Home,West,SP048,19.0,741.2,20.0,11266.24,5.0
100089,2024-12-04,,Home,South,SP008,12.0,1407.2,10.0,15197.76,2.0
100090,2024-11-19,Shoes,Clothing,South,SP048,4.0,1487.05,25.0,4461.15,4.0
100091,2024-10-10,Camera,Home,North,SP013,19.0,1953.33,20.0,29690.62,3.0
100092,2024-08-20,Mixer,Clothing,East,SP003,12.0,362.99,0.0,4355.88,1.0
100093,2025-07-20,Bag,Electronics,North,SP037,10.0,1396.35,5.0,13265.32,3.0
100094,2025-04-25,Laptop,Home,West,SP008,16.0,883.74,5.0,13432.85,1.0
100095,2025-02-14,Laptop,Clothing,South,SP037,16.0,,25.0,1833.48,3.0
100096,2024-03-28,Camera,Beauty,South,SP050,8.0,241.31,15.0,1640.91,5.0
100097,2025-01-24,,Sports,East,SP037,15.0,1817.47,10.0,24535.85,5.0
100098,2024-03-02,Chair,Books,South,SP017,,1920.42,,38408.4,1.0
100099,2024-06-09,Shoes,Electronics,West,SP029,8.0,351.76,0.0,2814.08,5.0
100100,2025-04-26,Watch,Books,,SP005,10.0,70.12,10.0,631.08,2.0
100101,2024-09-27,Headphones,Electronics,South,SP042,19.0,1324.06,5.0,23899.28,2.0
100102,2024-09-29,Watch,Beauty,East,SP029,5.0,147.46,5.0,700.44,1.0
100103,2025-04-24,Mixer,Beauty,West,SP029,10.0,1400.97,10.0,12608.73,
100104,2025-09-04,Book,Beauty,East,SP002,2.0,1779.4,25.0,2669.1,1.0
100105,2024-08-22,Watch,Beauty,North,SP049,19.0,1176.31,0.0,22349.89,2.0
100106,2025-04-26,Shoes,Beauty,West,SP041,17.0,1304.76,10.0,19962.83,4.0
100107,2024-04-03,Book,Books,North,SP011,16.0,699.18,10.0,10068.19,3.0
100108,2025-02-25,Mixer,Electronics,West,SP006,16.0,,15.0,7887.86,3.0
100109,2024-09-15,Mixer,Electronics,West,SP027,11.0,236.26,15.0,2209.03,
100110,2024-07-11,Bag,Electronics,South,SP018,17.0,726.75,15.0,10501.54,5.0
100111,2024-05-14,Bag,Electronics,North,SP041,10.0,879.04,,6592.8,5.0
100112,2024-09-02,Mixer,Sports,North,SP015,6.0,624.95,0.0,3749.7,1.0
100113,2025-04-17,Bag,Books,East,SP033,4.0,1297.18,5.0,4929.28,3.0
100114,2025-03-01,Bag,Beauty,South,SP025,16.0,1960.59,5.0,29800.97,2.0
100115,2025-09-05,Phone,Home,West,SP022,17.0,1493.85,5.0,24125.68,5.0
100116,2024-09-30,Camera,Beauty,West,SP010,1.0,569.26,10.0,512.33,4.0
100117,2025-07-05,,Sports,West,SP021,16.0,693.52,,8877.06,2.0
100118,2025-12-15,Headphones,Electronics,East,SP048,8.0,,5.0,8707.62,4.0
100119,2025-12-23,Shoes,Sports,North,SP009,,775.23,25.0,7558.49,5.0
100120,2025-08-27,Phone,Beauty,West,SP001,11.0,1740.05,15.0,16269.47,2.0
100121,2025-02-23,Book,Beauty,West,SP042,,154.28,,694.26,1.0
100122,2024-12-02,Bag,Beauty,North,SP040,18.0,,10.0,12362.54,1.0
100123,2024-08-28,Phone,Sports,North,SP049,10.0,1994.86,25.0,14961.45,
100124,2025-03-30,Laptop,Home,North,SP019,6.0,1389.53,0.0,8337.18,3.0
100125,2025-01-18,Headphones,Beauty,South,SP011,14.0,,20.0,3308.59,2.0
100126,2024-03-21,Chair,Sports,South,SP015,20.0,1742.32,20.0,27877.12,4.0
100127,2025-10-15,Laptop,Sports,East,SP044,9.0,921.84,25.0,6222.42,5.0
100128,2024-06-10,Camera,Home,West,SP045,3.0,886.25,10.0,2392.88,3.0
100129,2025-04-12,Bag,Electronics,South,SP025,10.0,402.44,15.0,3420.74,5.0
100130,2025-01-02,Watch,Electronics,West,SP018,19.0,595.27,25.0,8482.6,1.0
100131,2025-08-02,Bag,Home,South,SP039,2.0,1821.68,25.0,2732.52,3.0
100132,2024-08-12,Shoes,Books,,SP041,7.0,1243.68,25.0,6529.32,1.0
100133,2024-11-12,Shoes,Electronics,East,SP021,15.0,71.56,10.0,966.06,4.0
100134,2024-06-28,Book,Beauty,,SP011,7.0,268.66,20.0,1504.5,
100135,2025-05-08,Phone,Sports,North,SP010,10.0,1494.39,10.0,13449.51,2.0
100136,2025-11-23,Book,Electronics,,SP001,13.0,1934.7,20.0,20120.88,3.0
100137,2025-07-03,Watch,Beauty,,SP041,4.0,912.3,25.0,2736.9,3.0
100138,2024-04-20,Mixer,Home,South,SP042,8.0,945.6,20.0,6051.84,1.0
100139,2025-10-12,Headphones,Electronics,,SP003,15.0,1819.23,10.0,24559.6,1.0
100140,2024-11-07,Mixer,Clothing,West,SP030,16.0,236.66,5.0,3597.23,3.0
100141,2025-11-17,Shoes,Sports,North,SP032,18.0,841.16,25.0,11355.66,5.0
100142,2025-02-21,Chair,Sports,West,SP016,9.0,70.27,10.0,569.19,3.0
100143,2024-04-11,Book,Electronics,West,SP018,12.0,1091.21,25.0,9820.89,2.0
100144,2024-05-05,Camera,Electronics,,SP022,15.0,,5.0,2677.43,
100145,2024-05-08,Chair,Beauty,South,SP015,19.0,414.39,20.0,6298.73,
100146,2024-05-31,Shoes,Beauty,East,SP012,20.0,10.66,5.0,202.54,1.0
100147,2025-11-07,Chair,Beauty,East,SP002,1.0,267.95,10.0,241.16,2.0
100148,2024-09-28,Mixer,Electronics,North,SP031,2.0,257.88,15.0,438.4,4.0
100149,2025-01-05,Mixer,Clothing,North,SP047,17.0,1189.36,15.0,17186.25,5.0
100150,2024-11-04,Laptop,Sports,West,SP028,15.0,1288.46,0.0,19326.9,1.0
100151,2025-05-17,Book,Beauty,South,SP005,15.0,151.61,0.0,2274.15,2.0
100152,2024-10-08,Book,Sports,East,SP030,,1267.99,20.0,20287.84,5.0
100153,2025-09-11,Phone,Books,South,SP028,14.0,202.86,25.0,2130.03,4.0
100154,2024-08-21,Headphones,Sports,North,SP021,14.0,681.17,15.0,8105.92,4.0
100155,2024-11-16,Bag,Electronics,North,SP006,9.0,751.73,5.0,6427.29,1.0
100156,2025-03-18,Shoes,Beauty,North,SP038,4.0,1490.45,10.0,5365.62,5.0
100157,2025-07-29,Book,Books,West,SP047,11.0,1341.68,15.0,12544.71,1.0
100158,2024-10-21,Camera,Beauty,,SP010,20.0,628.34,0.0,12566.8,4.0
100159,2024-08-17,Book,Electronics,East,SP037,4.0,703.48,20.0,2251.14,2.0
100160,2025-03-15,Camera,Books,North,SP039,18.0,1949.22,20.0,28068.77,3.0
100161,2024-01-30,Book,Home,North,SP012,6.0,,10.0,2970.92,2.0
100162,2025-08-02,Laptop,Electronics,South,SP025,13.0,143.82,25.0,1402.24,4.0
100163,2025-04-09,Book,Beauty,North,SP004,11.0,319.03,10.0,3158.4,2.0
100164,2024-06-10,Watch,Sports,West,SP032,20.0,104.28,0.0,2085.6,
100165,2025-03-28,Phone,Home,West,SP008,14.0,549.97,20.0,6159.66,3.0
100166,2025-11-25,Watch,Electronics,South,SP026,19.0,975.83,25.0,13905.58,5.0
100167,2024-02-26,Shoes,Home,East,SP021,1.0,412.82,5.0,392.18,1.0
100168,2024-01-08,Shoes,Sports,South,SP033,16.0,1495.29,5.0,22728.41,5.0
100169,2025-11-15,Laptop,Sports,North,SP030,12.0,148.79,25.0,1339.11,1.0
100170,2024-11-16,Headphones,Home,North,SP026,19.0,861.42,15.0,13911.93,1.0
100171,2024-11-28,Bag,Books,East,SP006,6.0,1603.64,20.0,7697.47,4.0
100172,2024-04-18,Mixer,Electronics,West,SP020,8.0,874.17,15.0,5944.36,3.0
100173,2024-08-14,Mixer,Books,North,SP034,11.0,1559.34,0.0,17152.74,5.0
100174,2024-07-17,Shoes,Clothing,North,SP010,12.0,705.44,25.0,6348.96,3.0
100175,2024-07-21,Phone,Clothing,West,SP030,6.0,1206.79,25.0,5430.56,5.0
100176,2025-08-16,Camera,Home,East,SP010,15.0,1363.86,20.0,16366.32,4.0
100177,2024-03-10,Watch,Beauty,,SP023,16.0,887.21,10.0,12775.82,5.0
100178,2024-03-16,Laptop,Home,East,SP005,10.0,926.18,0.0,9261.8,1.0
100179,2025-09-21,Camera,Beauty,North,SP029,20.0,1016.6,15.0,17282.2,5.0
100180,2025-10-29,Mixer,Clothing,North,SP029,7.0,646.45,15.0,3846.38,1.0
100181,2024-12-17,Laptop,Clothing,West,SP029,3.0,1011.58,5.0,2883.0,5.0
100182,2025-06-19,Watch,Sports,West,SP050,,321.7,10.0,5790.6,3.0
100183,2025-11-26,Book,Electronics,East,SP007,20.0,109.47,25.0,1642.05,5.0
100184,2025-11-25,Camera,Clothing,East,SP006,13.0,571.87,25.0,5575.73,5.0
100185,2025-11-10,Headphones,Clothing,North,SP020,5.0,1833.91,10.0,8252.6,5.0
100186,2025-01-20,Mixer,Electronics,West,SP033,11.0,1627.3,25.0,13425.22,3.0
100187,2024-01-19,Book,Sports,South,SP015,12.0,621.19,5.0,7081.57,2.0
100188,2024-06-07,Mixer,Beauty,North,SP043,3.0,595.11,0.0,1785.33,
100189,2025-09-24,Shoes,Clothing,South,SP047,,1196.51,5.0,5683.42,4.0
100190,2024-02-14,Chair,Sports,East,SP049,14.0,731.78,25.0,7683.69,4.0
100191,2024-08-27,Chair,Home,West,SP030,18.0,482.14,15.0,7376.74,3.0
100192,2025-01-26,Chair,Beauty,South,SP017,17.0,1057.28,5.0,17075.07,1.0
100193,2025-10-18,Phone,Books,North,SP019,16.0,1748.86,20.0,22385.41,1.0
100194,2024-06-13,Shoes,Sports,North,SP015,9.0,901.39,20.0,6490.01,4.0
100195,2024-12-23,Mixer,Home,South,SP025,1.0,832.72,15.0,707.81,1.0
100196,2025-01-18,Book,Clothing,South,SP003,8.0,61.23,0.0,489.84,3.0
100197,2025-04-28,Bag,Beauty,North,SP006,5.0,1518.89,15.0,6455.28,1.0
100198,2024-09-19,Camera,Beauty,West,SP008,7.0,1670.75,20.0,9356.2,3.0
100199,2024-08-31,Headphones,Books,West,SP005,10.0,248.09,5.0,2356.86,1.0
100200,2025-05-26,Mixer,Beauty,South,SP046,,1074.43,25.0,16116.45,2.0
100201,2024-10-25,Chair,Beauty,,SP012,14.0,8.12,10.0,102.31,1.0
100202,2025-06-20,Mixer,Beauty,North,SP025,12.0,140.02,20.0,1344.19,4.0
100203,2024-02-14,Laptop,Home,North,SP023,13.0,1962.17,,22957.39,2.0
100204,2025-11-03,Book,Clothing,North,SP023,4.0,1544.15,25.0,4632.45,5.0
100205,2024-12-12,Bag,Books,,SP041,6.0,1661.62,25.0,7477.29,2.0
100206,2024-05-18,Laptop,Home,South,SP003,3.0,1433.51,15.0,3655.45,2.0
100207,2024-02-12,Headphones,Beauty,West,SP017,11.0,1867.08,20.0,16430.3,1.0
100208,2025-10-24,Book,Home,,SP024,7.0,575.79,0.0,4030.53,4.0
100209,2025-02-13,Book,Clothing,West,SP045,15.0,1789.8,15.0,22819.95,4.0
100210,2025-01-11,,Electronics,West,SP039,17.0,537.11,0.0,9130.87,2.0
100211,2025-07-12,Book,Books,East,SP020,10.0,645.82,,6458.2,4.0
100212,2025-09-09,Book,Sports,North,SP047,14.0,337.46,15.0,4015.77,3.0
100213,2025-09-21,Phone,Books,West,SP024,14.0,552.74,0.0,7738.36,5.0
100214,2025-11-26,,Books,West,SP003,6.0,1905.81,,10863.12,2.0
100215,2024-03-09,Book,Sports,North,SP039,8.0,1558.14,10.0,11218.61,2.0
100216,2025-11-26,Bag,Electronics,,SP034,15.0,1897.9,10.0,25621.65,
100217,2025-02-11,Phone,Electronics,South,SP032,11.0,1300.87,5.0,13594.09,5.0
100218,2025-01-31,Bag,Clothing,East,SP045,18.0,239.93,,3886.87,4.0
100219,2024-07-23,,Clothing,West,SP006,4.0,275.78,0.0,1103.12,3.0
100220,2025-11-14,Mixer,Home,East,SP011,12.0,1420.53,,13637.09,2.0
100221,2025-01-05,Shoes,Clothing,,SP002,17.0,452.36,5.0,7305.61,3.0
100222,2025-07-21,Shoes,Beauty,North,SP005,19.0,740.98,20.0,11262.9,3.0
100223,2025-02-11,Camera,Electronics,South,SP021,16.0,1053.76,15.0,14331.14,1.0
100224,2025-04-05,Shoes,Beauty,South,SP050,15.0,,10.0,18384.57,2.0
100225,2025-03-19,Phone,Beauty,South,SP020,17.0,1821.87,0.0,30971.79,2.0
100226,2024-06-14,Book,Beauty,East,SP006,11.0,1869.8,5.0,19539.41,3.0
100227,2024-07-20,Watch,Beauty,North,SP033,18.0,552.53,25.0,7459.15,2.0
100228,2025-08-29,Camera,Books,East,SP037,19.0,312.62,25.0,4454.84,1.0
100229,2024-01-30,Camera,Home,South,SP050,,95.7,25.0,215.33,5.0
100230,2025-03-02,Mixer,Home,,SP031,,1279.79,15.0,21756.43,2.0
100231,2025-12-02,Laptop,Clothing,West,SP027,13.0,598.38,0.0,7778.94,4.0
100232,2025-04-20,Book,Books,East,SP047,7.0,683.68,,4546.47,
100233,2025-02-12,Mixer,Electronics,East,SP016,5.0,1522.53,20.0,6090.12,4.0
100234,2024-05-05,Phone,Electronics,East,SP025,9.0,901.94,,7711.59,5.0
100235,2025-03-04,Book,Beauty,,SP013,8.0,1925.56,5.0,14634.26,2.0
100236,2025-05-25,Bag,Electronics,North,SP026,17.0,936.3,10.0,14325.39,5.0
100237,2025-04-13,Laptop,Electronics,East,SP032,8.0,434.21,10.0,3126.31,5.0
100238,2025-10-31,Phone,Sports,South,SP017,16.0,575.07,0.0,9201.12,3.0
100239,2025-02-16,Camera,Beauty,South,SP024,12.0,95.26,0.0,1143.12,5.0
100240,2024-10-22,Mixer,Home,North,SP009,3.0,775.77,15.0,1978.21,1.0
100241,2025-02-07,Mixer,Home,,SP013,12.0,1590.82,10.0,17180.86,5.0
100242,2025-06-05,Laptop,Clothing,East,SP031,13.0,1002.66,0.0,13034.58,5.0
100243,2025-04-12,Shoes,Home,East,SP011,5.0,,20.0,4857.96,4.0
100244,2025-09-23,Mixer,Beauty,West,SP046,10.0,1189.48,20.0,9515.84,5.0
100245,2024-11-02,Book,Books,North,SP027,16.0,1632.42,10.0,23506.85,5.0
100246,2024-11-11,Camera,Beauty,South,SP047,1.0,1195.83,10.0,1076.25,1.0
100247,2025-08-20,Camera,Sports,South,SP044,16.0,345.17,25.0,4142.04,2.0
100248,2024-02-02,Chair,Electronics,West,SP021,19.0,1896.67,0.0,36036.73,4.0
100249,2024-06-04,Mixer,Beauty,West,SP048,14.0,1382.55,15.0,16452.35,1.0
100250,2025-12-23,Book,Books,West,SP034,5.0,1039.77,20.0,4159.08,4.0
100251,2024-11-17,Book,Beauty,East,SP044,6.0,922.03,20.0,4425.74,3.0
100252,2025-09-16,Watch,Beauty,East,SP015,16.0,388.57,5.0,5906.26,
100253,2024-10-22,Book,Sports,East,SP036,7.0,1382.03,15.0,8223.08,3.0
100254,2024-10-21,,Sports,East,SP050,4.0,1149.09,20.0,3677.09,2.0
100255,2024-10-24,Phone,Home,West,SP042,2.0,578.82,,868.23,3.0
100256,2025-05-05,Watch,Beauty,East,SP009,7.0,408.13,,2285.53,1.0
100257,2025-09-22,Mixer,Clothing,South,SP004,19.0,482.37,0.0,9165.03,1.0
100258,2025-02-27,Shoes,Electronics,South,SP027,11.0,1436.13,0.0,15797.43,4.0
100259,2025-05-03,Book,Home,North,SP050,7.0,1513.04,10.0,9532.15,1.0
100260,2025-10-29,Laptop,Clothing,West,SP012,19.0,,25.0,6672.99,1.0
100261,2025-02-10,Watch,Electronics,North,SP020,16.0,376.69,25.0,4520.28,5.0
100262,2025-09-09,Watch,Sports,West,SP009,4.0,1857.27,10.0,6686.17,5.0
100263,2025-04-24,Book,Clothing,West,SP042,9.0,389.66,0.0,3506.94,3.0
100264,2024-07-09,Camera,Books,South,SP012,1.0,1474.55,10.0,1327.1,5.0
100265,2025-10-16,Book,Electronics,West,SP043,13.0,1654.84,20.0,17210.34,1.0
100266,2024-07-08,Laptop,Home,West,SP016,5.0,957.52,5.0,4548.22,4.0
100267,2024-09-30,Camera,Electronics,East,SP042,11.0,607.38,25.0,5010.89,3.0
100268,2025-12-10,Bag,Home,South,SP026,8.0,128.94,0.0,1031.52,5.0
100269,2025-12-21,Watch,Home,South,SP015,10.0,1382.13,25.0,10365.98,2.0
100270,2025-05-04,Book,Sports,West,SP049,5.0,,20.0,3650.72,5.0
100271,2025-11-11,Camera,Electronics,West,SP034,7.0,1524.91,25.0,8005.78,3.0
100272,2024-03-20,Mixer,Clothing,South,SP011,19.0,228.86,20.0,3478.67,3.0
100273,2025-06-16,Camera,Sports,North,SP033,15.0,236.9,5.0,3375.82,4.0
100274,2024-02-26,Bag,Beauty,North,SP036,15.0,268.23,15.0,3419.93,4.0
100275,2025-11-19,Watch,Electronics,South,SP038,10.0,1447.94,15.0,12307.49,1.0
100276,2024-02-16,Mixer,Electronics,North,SP031,14.0,692.34,0.0,9692.76,1.0
100277,2024-10-20,Headphones,Home,West,SP029,14.0,364.06,5.0,4842.0,4.0
100278,2025-01-19,Mixer,Clothing,East,SP008,3.0,1367.05,25.0,3075.86,2.0
100279,2025-07-04,Chair,Electronics,North,SP020,13.0,1060.04,25.0,10335.39,
100280,2025-11-20,Chair,Clothing,West,SP023,18.0,851.14,15.0,13022.44,2.0
100281,2024-10-09,Phone,Electronics,West,SP040,7.0,1875.13,25.0,9844.43,1.0
100282,2024-09-03,Laptop,Sports,North,SP016,7.0,139.25,,779.8,1.0
100283,2025-02-15,Laptop,Clothing,East,SP015,15.0,472.51,5.0,6733.27,5.0
100284,2024-11-22,Book,Clothing,East,SP010,19.0,1197.85,25.0,17069.36,5.0
100285,2024-08-14,Mixer,Beauty,South,SP041,14.0,604.5,0.0,8463.0,4.0
100286,2025-07-23,Headphones,Beauty,East,SP045,16.0,98.53,10.0,1418.83,4.0
100287,2025-02-22,Mixer,Sports,South,SP015,5.0,603.28,5.0,2865.58,3.0
100288,2025-12-25,Mixer,Sports,West,SP036,5.0,1612.52,,8062.6,5.0
100289,2024-05-17,Book,Books,North,SP029,13.0,489.5,5.0,6045.32,3.0
100290,2024-04-04,Laptop,Home,West,SP044,18.0,1450.55,5.0,24804.4,5.0
100291,2025-09-09,,Books,,SP031,2.0,1747.87,5.0,3320.95,2.0
100292,2024-12-06,Chair,Clothing,North,SP048,10.0,1914.25,0.0,19142.5,
100293,2024-09-05,Chair,Beauty,East,SP050,20.0,1409.02,,23953.34,3.0
100294,2025-01-24,Watch,Home,,SP033,15.0,1069.63,10.0,14440.01,4.0
100295,2025-04-22,,Home,South,SP024,4.0,1606.62,25.0,4819.86,3.0
100296,2025-02-27,Shoes,Electronics,East,SP036,2.0,1127.24,5.0,2141.76,5.0
100297,2025-08-16,Book,Clothing,West,SP037,14.0,593.91,5.0,7899.0,2.0
100298,2025-05-26,Book,Home,West,SP047,18.0,1310.94,25.0,17697.69,4.0
100299,2025-04-16,Shoes,Clothing,West,SP012,6.0,1466.88,10.0,7921.15,5.0
100300,2025-10-19,Laptop,Electronics,West,SP009,2.0,1050.27,0.0,2100.54,2.0
100301,2024-03-10,Bag,Home,North,SP040,5.0,23.24,,92.96,5.0
100302,2025-05-09,Mixer,Sports,North,SP002,16.0,36.38,20.0,465.66,5.0
100303,2024-10-08,Mixer,Books,West,SP012,18.0,1955.07,0.0,35191.26,1.0
100304,2024-04-08,Camera,Beauty,East,SP023,,302.05,5.0,4878.11,3.0
100305,2025-02-10,Bag,Beauty,South,SP045,3.0,749.24,15.0,1910.56,2.0
100306,2024-11-03,Laptop,Electronics,West,SP025,3.0,1309.2,25.0,2945.7,4.0
100307,2025-07-19,Shoes,Electronics,West,SP028,16.0,116.95,0.0,1871.2,3.0
100308,2025-08-02,Chair,Clothing,West,SP018,4.0,1790.11,0.0,7160.44,1.0
