ExpenseID,Date,Category,Amount,Quantity,MonthlyBudget,PaymentMethod,Description,Merchant,City
157,2025-01-28,Medical,17414.0,11.0,17429.0,Debit Card,Expense 157,Zomato,Delhi
158,2025-10-02,Medical,14521.0,1.0,32943.0,Debit Card,Expense 158,Flipkart,Rajkot
159,2025-01-26,Education,2004.0,8.0,28263.0,Wallet,Expense 159,Flipkart,Mumbai
160,2025-02-17,Shopping,7304.0,3.0,43935.0,UPI,Expense 160,Big Bazaar,Mumbai
161,2025-02-22,Education,12153.0,3.0,53737.0,Debit Card,Expense 161,Big Bazaar,Surat
162,2025-02-01,Shopping,13601.0,8.0,14735.0,Cash,Expense 162,DMart,Ahmedabad
163,2025-05-16,Food,10550.0,8.0,,Credit Card,Expense 163,Zomato,Bangalore
164,2025-06-13,Entertainment,18962.0,8.0,16881.0,Credit Card,Expense 164,DMart,Mumbai
165,2025-09-24,Shopping,15597.0,2.0,9091.0,Debit Card,Expense 165,Ola,Delhi
166,2025-10-18,Fuel,7293.0,2.0,27186.0,Debit Card,Expense 166,Reliance Fresh,Mumbai
167,2025-08-07,Medical,19811.0,12.0,47433.0,Net Banking,Expense 167,DMart,Mumbai
168,2025-06-05,Shopping,13392.0,9.0,44804.0,Wallet,Expense 168,Reliance Fresh,Rajkot
169,2025-03-07,Food,6675.0,2.0,6869.0,Credit Card,Expense 169,Swiggy,Rajkot
170,2025-03-11,Entertainment,15938.0,13.0,59387.0,Credit Card,Expense 170,Big Bazaar,Mumbai
171,2025-10-22,Shopping,153.0,11.0,34753.0,Wallet,Expense 171,Ola,Delhi
172,2025-01-08,Rent,18827.0,4.0,9227.0,Debit Card,,Uber,Mumbai
173,2025-08-08,Fuel,17000.0,12.0,5788.0,UPI,Expense 173,Amazon,Vadodara
174,2025-06-10,Education,17292.0,9.0,21065.0,Cash,Expense 174,Zomato,Delhi
175,2025-03-28,Shopping,16879.0,6.0,44700.0,Credit Card,Expense 175,Uber,Jaipur
176,2025-05-07,Transport,9555.0,4.0,28151.0,Cash,Expense 176,Uber,Ahmedabad
177,2025-12-28,Education,8739.0,15.0,35254.0,Cash,Expense 177,Reliance Fresh,Vadodara
178,2025-09-28,Food,3771.0,10.0,15020.0,Credit Card,Expense 178,Zomato,Surat
179,2025-08-26,Entertainment,3195.0,5.0,28469.0,Wallet,Expense 179,Zomato,Pune
180,2025-01-26,Food,16434.0,1.0,37164.0,Debit Card,Expense 180,DMart,Ahmedabad
181,2025-04-08,Transport,7542.0,2.0,19992.0,Debit Card,Expense 181,Ola,Ahmedabad
182,2025-01-10,Health,5700.0,4.0,48435.0,Cash,Expense 182,Big Bazaar,Pune
183,2025-05-22,Bills,12968.0,5.0,40464.0,UPI,Expense 183,Ola,Hyderabad
184,2025-05-09,Travel,12785.0,7.0,,Net Banking,Expense 184,Flipkart,Hyderabad
185,2025-12-02,Fuel,8522.0,15.0,36663.0,Credit Card,Expense 185,,Delhi
186,2025-12-25,Education,7320.0,8.0,,Cash,Expense 186,,Pune
187,2025-07-03,Groceries,15523.0,9.0,7660.0,Credit Card,Expense 187,Big Bazaar,Bangalore
188,2025-12-14,Rent,7756.0,11.0,41199.0,Wallet,Expense 188,Amazon,Ahmedabad
189,2025-11-16,Travel,2848.0,10.0,57402.0,Cash,Expense 189,Uber,Rajkot
190,2025-10-22,Shopping,880.0,1.0,49239.0,Net Banking,Expense 190,Amazon,Mumbai
191,2025-12-02,Rent,15571.0,11.0,11938.0,Net Banking,Expense 191,Ola,Ahmedabad
192,2025-01-22,Groceries,11955.0,5.0,34419.0,Wallet,Expense 192,Flipkart,Surat
193,2025-03-20,Fuel,4902.0,2.0,43301.0,Cash,Expense 193,,Pune
194,2025-06-23,Entertainment,2886.0,8.0,,Wallet,,Zomato,Mumbai
195,2025-06-03,Rent,14924.0,9.0,6110.0,UPI,Expense 195,Ola,Surat
196,2025-10-19,Transport,3998.0,4.0,52675.0,UPI,Expense 196,Uber,Delhi
197,2025-07-26,Health,16869.0,4.0,12465.0,Debit Card,Expense 197,Amazon,Rajkot
198,2025-11-22,Bills,6660.0,1.0,23947.0,Wallet,Expense 198,DMart,Vadodara
199,2025-01-20,Medical,15786.0,,40389.0,Wallet,Expense 199,Reliance Fresh,Mumbai
200,2025-08-23,Shopping,1188.0,13.0,43210.0,Debit Card,Expense 200,Zomato,Jaipur
201,2025-02-21,Transport,8591.0,8.0,47301.0,UPI,Expense 201,Reliance Fresh,Ahmedabad
202,2025-08-10,Groceries,5153.0,13.0,22820.0,Wallet,Expense 202,Uber,Surat
203,2025-01-07,Fuel,12113.0,14.0,,UPI,Expense 203,Uber,Pune
204,2025-09-28,Medical,16445.0,6.0,38964.0,Credit Card,Expense 204,Amazon,Mumbai
205,2025-11-21,Shopping,6463.0,6.0,24611.0,Wallet,Expense 205,Uber,Bangalore
206,2025-09-07,Rent,2041.0,9.0,36502.0,Credit Card,Expense 206,Big Bazaar,Vadodara
207,2025-12-25,Bills,2329.0,15.0,34070.0,Debit Card,Expense 207,Medical Store,Hyderabad
208,2025-05-15,Food,2585.0,,31268.0,Wallet,Expense 208,Big Bazaar,Ahmedabad
209,2025-06-18,Medical,10988.0,2.0,19646.0,UPI,,Big Bazaar,Rajkot
210,2025-11-03,Rent,7542.0,8.0,10299.0,Credit Card,Expense 210,Ola,Surat
211,2025-01-27,Food,608.0,5.0,56658.0,Wallet,Expense 211,Amazon,Mumbai
212,2025-04-21,Transport,12235.0,1.0,13966.0,Net Banking,Expense 212,Zomato,Rajkot
213,2025-01-25,Medical,15859.0,4.0,20639.0,Cash,Expense 213,Amazon,Surat
214,2025-05-19,Health,16722.0,8.0,31134.0,Credit Card,Expense 214,Medical Store,Ahmedabad
215,2025-10-03,Education,6560.0,1.0,25607.0,Cash,Expense 215,DMart,Jaipur
216,2025-02-18,Medical,4681.0,11.0,10967.0,Credit Card,Expense 216,Zomato,Ahmedabad
217,2025-05-12,Shopping,12770.0,15.0,45499.0,Cash,,DMart,Bangalore
218,2025-03-05,Health,7313.0,8.0,14378.0,Credit Card,Expense 218,Reliance Fresh,Jaipur
219,2025-11-17,Health,9540.0,10.0,40153.0,Credit Card,Expense 219,DMart,Vadodara
220,2025-08-12,Entertainment,10654.0,14.0,22300.0,Wallet,Expense 220,DMart,Mumbai
221,2025-06-28,Transport,858.0,9.0,33737.0,UPI,Expense 221,Reliance Fresh,Vadodara
222,2025-07-03,Medical,,5.0,,Cash,Expense 222,Amazon,Vadodara
223,2025-11-09,Shopping,9863.0,7.0,38532.0,Credit Card,Expense 223,Ola,Delhi
224,2025-03-11,Groceries,14339.0,4.0,30193.0,Credit Card,Expense 224,Ola,Vadodara
225,2025-07-04,Groceries,8043.0,4.0,46508.0,Cash,Expense 225,Swiggy,Hyderabad
226,2025-04-11,Food,5571.0,11.0,45134.0,Wallet,Expense 226,Uber,Mumbai
227,2025-02-15,Groceries,9001.0,5.0,37697.0,Wallet,Expense 227,Reliance Fresh,Rajkot
228,2025-05-15,Travel,12265.0,1.0,29529.0,Wallet,Expense 228,Reliance Fresh,Rajkot
229,2025-03-14,Rent,9616.0,9.0,26095.0,UPI,Expense 229,Amazon,Surat
230,2025-10-19,Groceries,8870.0,8.0,50509.0,Debit Card,Expense 230,Zomato,Jaipur
231,2025-12-11,Bills,19906.0,12.0,57473.0,Debit Card,Expense 231,Amazon,Ahmedabad
232,2025-06-24,Shopping,5873.0,13.0,33818.0,Debit Card,Expense 232,Big Bazaar,Jaipur
233,2025-07-14,Rent,12883.0,15.0,32897.0,Cash,Expense 233,Big Bazaar,Rajkot
234,2025-10-17,Travel,4067.0,3.0,11509.0,Wallet,Expense 234,Big Bazaar,Delhi
235,2025-01-16,Travel,14083.0,7.0,34276.0,Net Banking,Expense 235,Ola,Ahmedabad
236,2025-06-16,Fuel,7735.0,12.0,18763.0,Wallet,Expense 236,Ola,Delhi
237,2025-06-19,Bills,18951.0,2.0,40800.0,Cash,Expense 237,Flipkart,Hyderabad
238,2025-08-04,Bills,12477.0,,,Wallet,,Ola,Rajkot
239,2025-01-04,Bills,2050.0,7.0,37429.0,UPI,Expense 239,Swiggy,Vadodara
240,2025-12-27,Fuel,6898.0,13.0,42228.0,UPI,Expense 240,Zomato,Mumbai
241,2025-01-28,Travel,590.0,10.0,52693.0,Wallet,Expense 241,Amazon,Mumbai
242,2025-03-21,Fuel,14581.0,12.0,37272.0,UPI,Expense 242,Flipkart,Pune
243,2025-07-10,Rent,4267.0,1.0,38617.0,Credit Card,Expense 243,DMart,Surat
244,2025-04-23,Medical,14127.0,1.0,56680.0,UPI,Expense 244,Flipkart,Jaipur
245,2025-08-25,Travel,3559.0,3.0,56368.0,Wallet,,DMart,Rajkot
246,2025-04-15,Fuel,15517.0,12.0,48669.0,Wallet,Expense 246,Reliance Fresh,Jaipur
247,2025-08-24,Health,77.0,14.0,10305.0,UPI,Expense 247,Zomato,Hyderabad
248,2025-11-17,Education,1403.0,1.0,30720.0,Credit Card,Expense 248,Uber,Mumbai
249,2025-03-19,Travel,13590.0,10.0,47076.0,Wallet,Expense 249,Amazon,Jaipur
250,2025-07-08,Bills,10174.0,3.0,37472.0,Net Banking,Expense 250,Ola,Bangalore
251,2025-11-06,Medical,,2.0,58054.0,UPI,,Reliance Fresh,Vadodara
252,2025-06-01,Health,11769.0,5.0,5755.0,Cash,Expense 252,Swiggy,Vadodara
253,2025-05-14,Fuel,5686.0,4.0,18767.0,Cash,Expense 253,Big Bazaar,Rajkot
254,2025-04-27,Health,15191.0,14.0,53546.0,Net Banking,Expense 254,Ola,Delhi
255,2025-05-12,Rent,5905.0,6.0,17746.0,Wallet,Expense 255,Ola,Pune
256,2025-11-28,Entertainment,1035.0,3.0,54239.0,Credit Card,Expense 256,Amazon,Rajkot
257,2025-07-10,Fuel,15559.0,4.0,19133.0,Net Banking,Expense 257,Flipkart,Hyderabad
258,2025-03-12,Food,19161.0,12.0,42448.0,Credit Card,Expense 258,Big Bazaar,Rajkot
259,2025-11-08,Health,14291.0,,43474.0,Credit Card,Expense 259,Flipkart,Bangalore
260,2025-06-07,Groceries,8191.0,13.0,28639.0,Net Banking,Expense 260,DMart,Vadodara
261,2025-01-24,Health,3297.0,10.0,18724.0,Credit Card,Expense 261,Zomato,Mumbai
262,2025-01-22,Medical,13481.0,1.0,42025.0,Credit Card,Expense 262,Flipkart,Vadodara
263,2025-08-13,Medical,18646.0,1.0,35239.0,Wallet,Expense 263,Amazon,Ahmedabad
264,2025-11-04,Rent,16785.0,2.0,23957.0,Debit Card,Expense 264,DMart,Vadodara
265,2025-11-08,Health,12734.0,,29847.0,Wallet,Expense 265,DMart,Jaipur
266,2025-04-28,Travel,3322.0,12.0,55639.0,UPI,Expense 266,,Mumbai
267,2025-04-22,Bills,12465.0,6.0,39386.0,Net Banking,Expense 267,Medical Store,Mumbai
268,2025-09-13,Rent,10542.0,7.0,22426.0,Wallet,Expense 268,Uber,Vadodara
269,2025-05-10,Fuel,3012.0,7.0,43534.0,Wallet,Expense 269,Swiggy,Hyderabad
270,2025-02-05,Bills,16687.0,8.0,54549.0,Wallet,Expense 270,Flipkart,Pune
271,2025-02-05,Transport,18555.0,4.0,26488.0,Cash,Expense 271,Uber,Mumbai
272,2025-10-20,Entertainment,5975.0,15.0,50732.0,Net Banking,Expense 272,Big Bazaar,Ahmedabad
273,2025-09-22,Education,18571.0,13.0,20875.0,Credit Card,Expense 273,Swiggy,Ahmedabad
274,2025-01-09,Entertainment,6943.0,3.0,15749.0,Debit Card,Expense 274,Reliance Fresh,Mumbai
275,2025-06-07,Health,6759.0,7.0,45887.0,UPI,Expense 275,Ola,Bangalore
276,2025-04-20,Health,187.0,6.0,33022.0,Debit Card,Expense 276,Amazon,Bangalore
277,2025-01-22,Fuel,15393.0,2.0,8439.0,Wallet,Expense 277,Flipkart,Rajkot
278,2025-01-13,Transport,15126.0,11.0,43911.0,Net Banking,Expense 278,Swiggy,Surat
279,2025-08-19,Shopping,,4.0,59376.0,Wallet,,Uber,Vadodara
280,2025-08-22,Shopping,9725.0,8.0,29784.0,Credit Card,Expense 280,Ola,Bangalore
281,2025-08-01,Education,7517.0,12.0,47026.0,UPI,Expense 281,Uber,Surat
282,2025-03-06,Travel,9702.0,1.0,12147.0,Cash,Expense 282,Reliance Fresh,Vadodara
283,2025-07-26,Education,1823.0,9.0,,UPI,Expense 283,Reliance Fresh,Pune
284,2025-05-02,Shopping,3159.0,5.0,32305.0,Wallet,Expense 284,Medical Store,Surat
